subject,relation,object
COVID-WHO-616028,COVID WHO Research Paper Title,Medical Management of COVID-19: Evidence and Experience
Remdesivir,Received,Emergency use authorization (EUA) by the Food and Drug Administration (FDA) recently for use in patients hospitalized with COVID-19
Emergency use authorization (EUA) by the Food and Drug Administration (FDA) recently for use in patients hospitalized with COVID-19,Linked to ,EUA
EUA,Full Form ,Emergency use authorization
Emergency use authorization (EUA) by the Food and Drug Administration (FDA) recently for use in patients hospitalized with COVID-19,Linked to ,FDA
FDA,Linked to ,Food and Drug Administration
Emergency use authorization (EUA) by the Food and Drug Administration (FDA) recently for use in patients hospitalized with COVID-19,Research Paper ,COVID-WHO 
COVID-19 Symptoms,Include,Asymptomatic
COVID-19 Symptoms,Include,Minimal respiratory symptoms
COVID-19 Symptoms,Include,Febrile illness
COVID-19 Symptoms,Include,Severe respiratory failure needing ventilator support
Severe respiratory failure needing ventilator support,Linked to ,Respiratory failure
Severe respiratory failure needing ventilator support,Linked to ,Ventilator support
COVID-19 Management Guidelines,Relate to ,Prevention
COVID-19 Management Guidelines,Relate to ,Isolation
COVID-19 Management Guidelines,Relate to ,Supportive treatment strategies
Acetaminophen,Suggested Usage,Preferred antipyretic agent for fever associated with COVID-19
Preferred antipyretic agent for fever associated with COVID-19,Research Paper,COVID-WHO 
Preferred antipyretic agent for fever associated with COVID-19,Linked to ,Antipyretic agent
Preferred antipyretic agent for fever associated with COVID-19,Linked to ,Fever
NSAID,Full Form ,Non-steroidal Anti-Inflammatory Drug
NSAID,Proposed Dose,Lowest effective
CDC,Refers to ,Centers for Disease Control and Prevention (USA)
Glucocorticoids,Associated with ,Increased risk for mortality in patients with influenza
Increased risk for mortality in patients with influenza,Linked to ,Influenza
Glucocorticoids,Experience with MERS-COV Management,Delayed viral clearance in patients with Middle East respiratory syndrome coronavirus (MERS-CoV) infection
Delayed viral clearance in patients with Middle East respiratory syndrome coronavirus (MERS-CoV) infection,Linked to ,MERS
MERS,Full Form ,Middle East Respiratory Syndrome
Glucocorticoids,Experience with SARS Management,No good evidence for benefit
Glucocorticoids,Experience with SARS Management,Persuasive evidence of adverse short- and long-term harm
Glucocorticoids,Usage Recommendation ,"CDC recommended against the use of systemic glucocorticoids in patients with COVID-19, unless there are other indications such as asthma or chronic obstructive lung disease exacerbation, refractory septic shock, and adrenal insufficiency"
"CDC recommended against the use of systemic glucocorticoids in patients with COVID-19, unless there are other indications such as asthma or chronic obstructive lung disease exacerbation, refractory septic shock, and adrenal insufficiency",Research Paper,COVID-WHO 
"CDC recommended against the use of systemic glucocorticoids in patients with COVID-19, unless there are other indications such as asthma or chronic obstructive lung disease exacerbation, refractory septic shock, and adrenal insufficiency",Linked to ,CDC
"CDC recommended against the use of systemic glucocorticoids in patients with COVID-19, unless there are other indications such as asthma or chronic obstructive lung disease exacerbation, refractory septic shock, and adrenal insufficiency",Linked to ,Asthma
"CDC recommended against the use of systemic glucocorticoids in patients with COVID-19, unless there are other indications such as asthma or chronic obstructive lung disease exacerbation, refractory septic shock, and adrenal insufficiency",Linked to ,Chronic obstructive lung disease exacerbation
"CDC recommended against the use of systemic glucocorticoids in patients with COVID-19, unless there are other indications such as asthma or chronic obstructive lung disease exacerbation, refractory septic shock, and adrenal insufficiency",Linked to ,Refractory septic shock
"CDC recommended against the use of systemic glucocorticoids in patients with COVID-19, unless there are other indications such as asthma or chronic obstructive lung disease exacerbation, refractory septic shock, and adrenal insufficiency",Linked to ,Adrenal insufficiency
COVID-19 patients ,May Carry,Increased risk for systemic thrombosis
Increased risk for systemic thrombosis,Linked to,Thrombosis
Increased risk for systemic thrombosis,Suggested by ,"Reports of pulmonary embolism in patients with COVID-19, and several cohorts reported to have elevated D-dimer levels and other markers of dysregulated coagulation"
"Reports of pulmonary embolism in patients with COVID-19, and several cohorts reported to have elevated D-dimer levels and other markers of dysregulated coagulation",Research Paper,COVID-WHO 
"Reports of pulmonary embolism in patients with COVID-19, and several cohorts reported to have elevated D-dimer levels and other markers of dysregulated coagulation",Linked to ,Pulmonary embolism
"Reports of pulmonary embolism in patients with COVID-19, and several cohorts reported to have elevated D-dimer levels and other markers of dysregulated coagulation        ",Linked to ,D-dimer
"Reports of pulmonary embolism in patients with COVID-19, and several cohorts reported to have elevated D-dimer levels and other markers of dysregulated coagulation",Linked to ,Dysregulated coagulation
Thromboembolism,Possible Factor,Advanced age and existing comorbidities
Advanced age and existing comorbidities,Linked to,Age
Advanced age and existing comorbidities,Linked to,Comorbidities
Heparin,Recommendation ,Recommended for pharmacologic prophylaxis of venous thromboembolism in COVID-19 patients unless there are clinical contraindications such as active bleeding or severe thrombocytopenia
Recommended for pharmacologic prophylaxis of venous thromboembolism in COVID-19 patients unless there are clinical contraindications such as active bleeding or severe thrombocytopenia,Research Paper,COVID-WHO 
Recommended for pharmacologic prophylaxis of venous thromboembolism in COVID-19 patients unless there are clinical contraindications such as active bleeding or severe thrombocytopenia,Linked to,Pharmacologic prophylaxis
Recommended for pharmacologic prophylaxis of venous thromboembolism in COVID-19 patients unless there are clinical contraindications such as active bleeding or severe thrombocytopenia,Linked to,Thromboembolism
Recommended for pharmacologic prophylaxis of venous thromboembolism in COVID-19 patients unless there are clinical contraindications such as active bleeding or severe thrombocytopenia,Linked to,Thrombocytopenia
Inhaled Medications,Administration Straregy,Metered-dose inhaler
COVID-19 Symptoms,Most Common,Fever
COVID-19,Recommended antipyretic,Acetaminophen
Acetaminophen,Other Uses,Headache
Acetaminophen,Other Uses,Myalgias
Aspirin,Causes,Reye syndrome
Aspirin,Precautions,Should be avoided in children
COVID-19 symptoms,Common ,Cough (often dry cough) 
COVID-19,Potential Complications,Hypotension
COVID-19,Potential Complications,Shock
Viral Infection,Causes,Inflammatory cytokine release
Inflammatory Cytokine Release,Causes,Usually subpleural edema in the early stages
Usually subpleural edema in the early stages,Linked to ,Subpleural edema
Usually subpleural edema in the early stages,Linked to,Edema
Inflammatory Cytokine Release,Causes,Alveolar edema in later stages
Alveolar edema in later stages,Linked to,Alveolar edema
Vascular endothelial damage in COVID-19,Causes,Disruption of pulmonary vascular autoregulation in response to hypoxia
Disruption of pulmonary vascular autoregulation in response to hypoxia,Linked to,Pulmonary vascular autoregulation
Disruption of pulmonary vascular autoregulation in response to hypoxia,Linked to,Hypoxia
Vascular endothelial damage in COVID-19,Contributes to ,Ventilation-perfusion (VQ) mismatch
Inflammation of the alveolar lining,Causes,Alveolar collapse
Decreased fluid clearance,Causes,Alveolar edema
Alveolar edema,Causes,Increased right heart pressure
Increased right heart pressure,Causes,More tissue hypoxia
Increased right heart pressure,Causes,Multiorgan failure
Two distinct phenotypes,At ends of Clinical Spectrum,“L” and “H” types
“L” type,Feature,Seen early on
“L” type,Feature,Low elastance/high compliance
“L” type,Feature,Low lung weight
“L” type,Feature,Low VQ mismatch
“L” type,Feature,Low recruitability
“L” type,Feature,Lungs can hold a good amount of air
“L” type,Feature,Lungs not affected by much edema
“L” type,Feature,VQ ratio is due to defects in vasoregulation and perfusion
VQ ratio is due to defects in vasoregulation and perfusion,Linked to,Vasoregulation 
VQ ratio is due to defects in vasoregulation and perfusion,Linked to,Perfusion
“L” type,Feature ,"Since most of the lung is already aerated, there is not much scope for recruitability"
"Since most of the lung is already aerated, there is not much scope for recruitability",Linked to,Recruitability
“L” type,Feature,Patients have mild dyspnea
Patients have mild dyspnea,Linked to ,Dyspnea
“L” type,Feature,Patients have limited ground glass infiltrates on computed tomography (CT) scans
Patients have limited ground glass infiltrates on computed tomography (CT) scans,Linked to ,Glass infiltrates
Patients have limited ground glass infiltrates on computed tomography (CT) scans,Linked to ,Computed tomography
ARDS ,Full Form ,Adult respiratory distress syndrome
ARDS,Feature,Noncardiogenic pulmonary edema
ARDS,Feature,Shunting
ARDS,Feature,Decreased lung size for gas exchange
“H” type,Feature,High elastance
“H” type,Feature,Low compliance
“H” type,Feature,High lung weight
“H” type,Feature ,High VQ mismatch
“H” type,Feature,High recruitability
“H” type,Feature,Symptomatic
“H” type,Feature,Extensive infiltrates on CT suggestive of alveolar edema
“H” type,Feature,Increased risk of ending up on the ventilator support device
Respiratory support in COVID-19,Suggested Focus,Optimizing oxygenation
