subject,relation,object
COVID-WHO-614382,COVID WHO Research Paper Title,Shielding and Beyond: The Roles of Glycans in SARS-CoV-2 Spike Protein
Spike Protein (S) ,Feature,Glycan shield
Glycan shield,Objective,Thwarts the host immune response
Possible Strategy against COVID-19,Use,Vulnerabilities of the glycan shield of SARS-CoV-2 S protein Head
Vulnerabilities of the glycan shield of SARS-CoV-2 S protein Head,Reason,Glycan camouflaging of head is insufficient particularly for large probe radii.
Vulnerabilities of the glycan shield of SARS-CoV-2 S protein Head,Linked to,Glycan shield
Vulnerabilities of the glycan shield of SARS-CoV-2 S Protein Head,Linked to,SARS-CoV-2 S Protein Head
Vulnerabilities of the glycan shield of SARS-CoV-2 S Protein Head,Linked to,SARS-CoV-2 S Protein
Glycan camouflaging,Linked to,Glycan shield
Spike Protein (S) ,Attribute,Class I fusion protein
Spike Protein (S) ,Synthesized as ,Single 1273 amino acid polypeptide chain
Single 1273 amino acid polypeptide chain,Associates as ,Trimer
Single 1273 amino acid polypeptide chain,Linked to ,Polypeptide chain
Spike Protein (S),Topological Classification,Spike Protein (S) Head
Spike Protein (S),Topological Classification,Spike Protein (S) Stalk
Spike Protein (S),Topological Classification,Spike Protein (S) Tail
Spike Protein (S),Feature ,Furin Cleavage Site
Spike Protein (S) Head,Residues Range for Topological Classification,Range 16-1140 
Spike Protein (S) Stalk ,Residues Range for Topological Classification,Range 1141–1234
Spike Protein (S) Tail,Residues Range for Topological Classification,Range 1235–1273
Furin Cleavage Site,Cleaved By ,TMPRSS protease
Furin Cleavage Site,Believed to ,Prime and activate the spike for infection
Proteolytic cleavage at S2,Releases,Fusion peptide (FP)
Fusion peptide (FP),Function ,Penetrates and primes the host cell membrane for fusion
Penetrates and primes the host cell membrane for fusion,Linked to ,Host cell membrane
Spike Protein (S),Contains,S1 subunit
Spike Protein (S),Contains,S2 subunit
Spike Protein (S),Contains,Furin cleavage site
S1 subunit,Contains ,N-terminal domain (NTD)
N-terminal domain (NTD),Residues Range for Topological Classification,16–291
S1 subunit,Contains,Receptor binding domain (RBD)
Receptor binding domain (RBD),Residues Range for Topological Classification,330–530
Receptor binding motif (RBM),Responsible for ,Interaction with angiotensin-converting enzyme 2 (ACE2) receptor to gain entry into the host
Interaction with angiotensin-converting enzyme 2 (ACE2) receptor to gain entry into the host,,ACE2
ACE2,Full Form ,Angiotensin-converting enzyme 2
S2 subunit,Described as ,Metastable spring-loaded fusion machine
metastable spring-loaded fusion machine,Reason for Name,Plays a key role in integrating the viral and host cell membranes
S2 subunit,Contains,Fusion Peptide (FP)
Fusion Peptide (FP),Residues Range for Topological Classification,788–806
S2 subunit,Contains,Central helix (CH)
Central helix (CH),Residues Range for Topological Classification,987–1034
S2 subunit,Contains,Connecting domain (CD)
Connecting domain (CD),Residues Range for Topological Classification,1080–1135
S2 subunit,Contains,Heptad repeat 2 (HR2)
Heptad repeat 2 (HR2),Residues Range for Topological Classification,1163–1210
S2 subunit,Contains,Transmembrane domain (TD)
Transmembrane domain (TD),Residues Range for Topological Classification,1214–1234
S2 subunit,Contains,Cytoplasmic Tail (CT)
Cytoplasmic Tail (CT),Residues Range for Topological Classification,1235–1273
Spike Protein (S),Structural Feature,Extensive glycosylation
Protein glycosylation,Importance ,Plays a crucial role in viral pathogenesis
Plays a crucial role in viral pathogenesis,Linked to ,Viral pathogenesis
HIV-1 envelope spike (Env),Attribute,Protein-accessible surface area almost entirely covered in N-glycans
Protein-accessible surface area almost entirely covered in N-glycans,Linked to ,N-glycans
HIV-1 Env glycan shield,Largely structured by,Oligomannose (Man5-9) N-glycans
SARS-CoV Spike,Comparison with HIV-1 envelope spike (Env),Large presence of complex N-glycans relative to oligomannose type
Large presence of complex N-glycans relative to oligomannose type,Linked to ,Oligomannose type
Spike Protein (S)  ,Comparison with HIV-1 envelope spike (Env),Large presence of complex N-glycans relative to oligomannose type
SARS-CoV-2 trimer,Attribute,22 predicted N-glycosylation sites per protomer
22 predicted N-glycosylation sites per protomer,Occupied Sites ,17
SARS-CoV-2 trimer,Attribute,2 predicted O-glycosylation sites
Spike Protein (S) Stalk ,Viability as Target for Antibody Development,"No, found to have lack of vulnerabilities, particularly for large molecules"
Spike Protein (S) Head ,Viability as Target for Antibody Development,"Yes, more viable target as extensively shown by epitope-specific accessibility analyses"
Nglycans at N234 and N165,Function ,Modulate the conformational dynamics of the S protein
Nglycans at N234 and N165,Function ,Stabilize RBD in the “up” conformation
Vaccine Design ,Factor to Consider,Strategies developed by viruses to evade the host immune response
Strategies developed by viruses to evade the host immune response,Example ,Many viruses use a glycan shield to mask the immunogenic epitopes targeted by neutralizing antibodies
Spike Protein (S) Head ,Number of N-glycans sites,19
Spike Protein (S) Stalk ,Number of N-glycans sites,3
Antibodies Targeting Spike Protein ,Feature ,Majority recognize epitopes on the RBD
Antibodies Targeting Spike Protein,Feature,A few address the antigenic regions within the NTD and CD
RBD antibodies,Example ,B38
RBD antibodies,Example ,47D11
B38,Interacts with ,RBM at the RBD/ACE2 interface
47D11,Interacts with ,RBM at the RBD/ACE2 interface
S309,Interacts with ,Side/bottom part of the RBD
Side/bottom part of the RBD,Linked to ,RBD
CR3022,Interacts with,Side/bottom part of the RBD
NTD and CD antibodies,Example ,4A8
NTD and CD antibodies,Example ,1A9
SARS-CoV S Glycoproteins,Compared with SARS-CoV-2 S Glycoproteins,Share 76% sequence identity
SARS-CoV S Glycoproteins,Compared with SARS-CoV-2 S Glycoproteins,22 N-glycosylation sites found on SARS-CoV-2 conserved from SARS-CoV
